"class","validName","stage","X","buoyancy","capsule","chlb","chlc","Coloniales","DMS","feeding_strategy","Forme","fyco","motility","nfix","Parasitic","Symbiosis_bacterienne","Taille.um.","Toxines"
"Prymnesiophyceae_cl","Phaeocystis_diploid","diploid",NA,"0",NA,"0","1","chain","1","auto","sphere","0","0","0","0",NA,"8","1"
"Prymnesiophyceae_cl","Phaeocystis_haploid","haploid",NA,"0",NA,"0","1","chain","1","auto","sphere","0","1","0","0",NA,"8","1"
"Raphidophyceae","Chattonella",NA,NA,NA,NA,NA,NA,NA,"0","mixo",NA,NA,"1",NA,NA,NA,"37",NA
"Raphidophyceae","Haramonas",NA,NA,NA,NA,NA,NA,NA,"0","auto","ovo�de",NA,"1","0","1",NA,"34","0"
"Raphidophyceae","Heterosigma",NA,NA,NA,NA,NA,NA,NA,"0","mixo",NA,NA,"1",NA,NA,NA,"20",NA
"Syndiniales","Amoebophrya",NA,NA,NA,NA,"0","0",NA,"0","hetero","sphere","0","1","0","1","0","5","0"
"Syndiniales","Syndiniales",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"1",NA,"1",NA,"2",NA
"Telonemea","Telonema",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"1",NA,NA,NA,"6",NA
"Thecofilosea","Rhogostoma",NA,NA,NA,NA,"0","0",NA,"0","hetero","oval","0","1","0",NA,NA,"9","0"
"Xanthophyceaea","Meringosphaera",NA,NA,NA,NA,NA,NA,NA,"0","hetero",NA,NA,"1",NA,NA,NA,"30",NA
