,4380,2190,0,32850,730,3650,4380,6570,32850,730,219000,116800,25550,135050,0
,9490,3650,1460,47450,1460,1825,7300,0,65700,730,146000,62050,21900,105850,0
,2920,0,0,21900,730,0,3650,18980,73000,2190,131400,14600,36500,36500,3650
,0,0,0,10950,0,1825,1460,5110,136875,0,109500,21900,10950,7300,0
Lohmanniella,1460,0,730,1825,1460,0,0,0,1825,0,0,0,1825,1825,1825
Mesodinium,0,730,0,0,0,1825,0,0,0,0,0,1825,0,0,1825
Strombidium,0,0,730,0,0,0,0,0,0,0,1825,0,0,0,0
Strombidium,2190,0,0,0,0,0,1460,0,1825,730,0,0,0,0,0
Strombidium,4380,0,2190,0,0,0,0,0,0,730,0,0,0,0,0
Strombidium,7300,0,7300,0,3650,1825,0,3650,9125,8760,0,0,0,1825,0
Uronema,0,0,0,0,0,0,0,0,0,0,0,1825,0,0,0
,2190,730,730,3650,0,3650,0,1460,0,1460,0,3650,5475,0,0
,3650,730,3650,1825,2190,3650,1460,2920,1825,730,0,0,1825,3650,0
,0,0,730,0,730,0,0,0,0,0,0,0,0,0,0
,0,1460,1460,1825,0,0,730,1460,0,0,0,0,0,0,0
,67160,39420,49640,182500,35770,73000,132860,108040,167900,67160,445300,328500,193450,240900,146000
,45990,24820,37960,229950,54750,193450,159140,99280,386900,62050,978200,562100,375950,1080400,346750
,13870,2190,10220,9125,7300,12775,9490,13140,12775,6570,7300,12775,27375,7300,10950
,0,0,730,0,730,0,0,0,0,1460,5475,0,0,0,0
